pair,species,origin,age,replicate,phenolics,toughness,thickness,leafN
18,ruha,native,young,5,,10,0.003333333,
19,scte,invasive,mature,1,12.06304667,65,0.013555556,2.1197367
19,scte,invasive,mature,2,13.21093167,75,0.014444444,2.305970254
19,scte,invasive,mature,3,13.15051667,61.66666667,0.013222222,1.599088729
19,scte,invasive,mature,4,,48.33333333,0.013888889,2.048348924
19,scte,invasive,mature,5,,53.33333333,0.013666667,1.908081621
19,scte,invasive,young,1,25.53559167,28.33333333,0.007444444,3.294517541
19,scte,invasive,young,2,23.90438667,28.33333333,0.009,3.419150378
19,scte,invasive,young,3,26.98555167,25,0.009666667,3.202333187
19,scte,invasive,young,4,,26.66666667,0.009777778,
19,scte,invasive,young,5,,28.33333333,0.008444444,
4,seto,native,mature,1,4.813246667,156.6666667,0.015444444,2.168534749
4,seto,native,mature,2,4.148681667,96.66666667,0.014555556,2.298272532
4,seto,native,mature,3,4.571586667,123.3333333,0.013222222,1.705634361
4,seto,native,mature,4,,88.33333333,0.013888889,2.175164835
4,seto,native,mature,5,,101.6666667,0.015444444,2.248420432
4,seto,native,young,1,7.894411667,6.666666667,0.006777778,
4,seto,native,young,2,9.102711667,6.666666667,0.006722222,3.396559694
4,seto,native,young,3,,28.33333333,0.008333333,2.922144129
4,seto,native,young,4,,20,0.0065,2.932236675
4,seto,native,young,5,,40,0.007833333,
8,soch,native,mature,1,3.907021667,148.3333333,0.014666667,1.991473034
8,soch,native,mature,2,3.786191667,170,0.011,2.204119101
8,soch,native,mature,3,3.846606667,118.3333333,0.012555556,2.013125
8,soch,native,mature,4,,46.66666667,0.013444444,1.86103219
8,soch,native,mature,5,,163.3333333,0.012888889,
8,soch,native,young,1,3.725776667,,,1.743837722
8,soch,native,young,2,3.484116667,,,1.986562599
8,soch,native,young,3,3.484116667,,,2.00490749
8,soch,native,young,4,,,,
8,soch,native,young,5,,,,
